City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Pogar,RU,2020-02-19 23:34:31,52.55,33.26,33.12,91,100,6.6
263,Asuncion,PY,2020-02-19 23:34:31,-25.3,-57.64,86.0,70,40,10.29
264,Petropavlovsk-Kamchatskiy,RU,2020-02-19 23:34:31,53.05,158.65,6.8,55,0,6.71
265,Bulgan,MN,2020-02-19 23:34:32,48.81,103.53,1.94,96,100,6.04
266,Vila Velha,BR,2020-02-19 23:32:06,-20.33,-40.29,80.6,78,40,11.41
267,Opuwo,NA,2020-02-19 23:34:32,-18.06,13.84,68.07,32,100,6.73
268,Boralday,KZ,2020-02-19 23:34:32,43.36,76.86,15.8,92,75,4.47
269,Marshfield,US,2020-02-19 23:34:33,44.67,-90.17,12.2,46,1,13.87
270,Ahipara,NZ,2020-02-19 23:34:33,-35.17,173.17,91.99,68,33,10.71
271,Seoul,KR,2020-02-19 23:34:03,37.57,126.98,32.0,86,1,2.24
272,Abu Dhabi,AE,2020-02-19 23:34:33,24.47,54.37,68.0,88,100,2.24
273,Berbera,SO,2020-02-19 23:34:34,10.44,45.01,76.44,81,42,8.72
274,Portland,US,2020-02-19 23:30:05,45.52,-122.68,57.99,32,1,19.46
275,Garowe,SO,2020-02-19 23:34:34,8.41,48.48,68.56,87,28,8.97
276,Marawi,PH,2020-02-19 23:34:34,8.0,124.29,75.0,83,36,7.0
277,Kirkuk,IQ,2020-02-19 23:34:35,35.47,44.39,56.21,61,83,27.76
278,Noumea,NC,2020-02-19 23:34:35,-22.28,166.46,86.0,58,20,10.29
279,Ust-Kut,RU,2020-02-19 23:34:35,56.79,105.77,4.8,97,98,4.21
280,Santa Cruz,BO,2020-02-19 23:34:02,-17.8,-63.17,82.4,74,75,6.93
281,Mackay,AU,2020-02-19 23:34:36,-21.15,149.2,91.99,74,27,5.82
282,Waipawa,NZ,2020-02-19 23:34:36,-41.41,175.52,69.01,82,98,8.05
283,Corner Brook,CA,2020-02-19 23:34:36,48.97,-57.95,28.4,79,90,19.46
284,Half Moon Bay,US,2020-02-19 23:31:07,37.46,-122.43,69.01,59,40,5.82
285,Flinders,AU,2020-02-19 23:34:36,-34.58,150.86,80.01,43,0,8.05
286,Vanimo,PG,2020-02-19 23:34:37,-2.67,141.3,81.16,72,100,10.56
287,Saldanha,ZA,2020-02-19 23:34:37,-33.01,17.94,66.2,88,11,14.99
288,Saint-Augustin,CA,2020-02-19 23:34:37,51.23,-58.65,24.58,92,99,19.08
289,Tessalit,ML,2020-02-19 23:34:38,20.2,1.01,67.3,13,4,13.76
290,Chitungwiza,ZW,2020-02-19 23:34:38,-18.01,31.08,60.96,95,34,3.94
291,Meulaboh,ID,2020-02-19 23:34:38,4.14,96.13,80.13,84,64,7.14
292,Pangnirtung,CA,2020-02-19 23:34:38,66.15,-65.71,-29.2,66,20,0.98
293,Cockburn Town,TC,2020-02-19 23:34:38,21.46,-71.14,78.04,78,13,18.57
294,Brae,GB,2020-02-19 23:34:39,60.4,-1.35,44.6,87,100,27.51
295,Woodward,US,2020-02-19 23:34:39,36.43,-99.39,42.8,55,90,9.17
296,Menongue,AO,2020-02-19 23:34:39,-14.66,17.69,64.17,95,100,7.96
297,Puerto Escondido,MX,2020-02-19 23:34:39,15.85,-97.07,86.0,84,5,6.93
298,Grave,NL,2020-02-19 23:34:39,51.76,5.74,44.6,93,90,16.11
299,Elhovo,BG,2020-02-19 23:34:40,42.17,26.57,42.8,100,75,4.7
300,Madison,US,2020-02-19 23:33:55,34.73,-86.57,51.8,61,75,9.17
301,Sinnamary,GF,2020-02-19 23:34:40,5.38,-52.95,78.33,76,99,18.43
302,Nagato,JP,2020-02-19 23:34:40,34.38,131.2,44.6,81,75,2.24
303,Pandan,PH,2020-02-19 23:34:41,14.05,124.17,77.43,78,90,23.85
